"EG15_006 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_006.tcf]","Time (h)","Q FC01.1_R [EG15_006]","Q FC01.2_R [EG15_006]","Q FC04.1_C [EG15_006]","Q Pipe0 [EG15_006]","Q Pipe1 [EG15_006]","Q Pipe10 [EG15_006]","Q Pipe11 [EG15_006]","Q Pipe12 [EG15_006]","Q Pipe13 [EG15_006]","Q Pipe14 [EG15_006]","Q Pipe15 [EG15_006]","Q Pipe16 [EG15_006]","Q Pipe17 [EG15_006]","Q Pipe19 [EG15_006]","Q Pipe2 [EG15_006]","Q Pipe3 [EG15_006]","Q Pipe4 [EG15_006]","Q Pipe5 [EG15_006]","Q Pipe6 [EG15_006]","Q Pipe7 [EG15_006]","Q Pipe8 [EG15_006]","Q Pipe9 [EG15_006]","Q Pit1 [EG15_006]","Q Pit11 [EG15_006]","Q Pit12 [EG15_006]","Q Pit14 [EG15_006]","Q Pit15 [EG15_006]","Q Pit16 [EG15_006]","Q Pit18 [EG15_006]","Q Pit19 [EG15_006]","Q Pit2 [EG15_006]","Q Pit4 [EG15_006]","Q Pit5 [EG15_006]","Q Pit6 [EG15_006]","Q Pit7 [EG15_006]","Q Pit8 [EG15_006]","Q Pit9 [EG15_006]"
      11,          0.166667,           0.000,           0.082,           0.000,          -0.000,           0.043,           0.016,           0.000,          -0.003,           0.000,           0.055,           0.027,           0.066,           0.078,           0.010,           0.021,           0.017,          -0.010,           0.005,           0.006,           0.014,           0.024,           0.022,           0.000,           0.064,           0.034,           0.024,           0.003,           0.003,           0.017,           0.020,           0.040,           0.015,           0.019,           0.023,           0.005,           0.003,           0.025
      12,          0.183333,           0.000,           0.104,           0.000,           0.031,           0.066,           0.034,           0.000,           0.000,           0.000,           0.074,           0.034,           0.102,           0.105,           0.025,           0.026,           0.022,           0.017,           0.013,           0.011,           0.021,           0.040,           0.045,           0.033,           0.082,           0.043,           0.028,           0.000,           0.002,           0.022,           0.026,           0.048,           0.020,           0.025,           0.030,           0.006,           0.006,           0.031
      13,          0.200000,           0.400,           0.010,           0.000,           0.017,           0.073,           0.031,           0.019,          -0.004,           0.002,           0.092,           0.048,           0.144,           0.137,           0.070,           0.037,           0.021,           0.044,           0.041,           0.028,           0.027,           0.054,           0.071,           0.021,           0.098,           0.048,           0.031,           0.011,           0.003,           0.027,           0.033,           0.056,           0.027,           0.032,           0.040,           0.007,           0.010,           0.037
      14,          0.216667,           1.445,           1.135,           0.006,           0.021,           0.086,           0.057,           0.083,           0.048,           0.036,           0.110,           0.083,           0.007,           0.117,           0.114,           0.047,           0.028,           0.059,           0.088,           0.068,           0.038,           0.070,           0.098,           0.023,           0.113,           0.053,           0.034,           0.013,           0.000,           0.033,           0.042,           0.067,           0.033,           0.039,           0.050,           0.009,           0.012,           0.042
      15,          0.233333,           2.275,           0.143,           0.017,           0.026,           0.101,           0.115,           0.168,           0.124,           0.124,           0.234,          -0.063,           0.015,           0.277,           0.154,           0.060,           0.038,           0.075,           0.136,           0.005,           0.055,           0.099,           0.134,           0.026,           0.126,           0.058,           0.037,           0.015,           0.004,           0.046,           0.060,           0.077,           0.038,           0.047,           0.063,           0.011,           0.014,           0.047
      16,          0.250000,           2.940,           0.718,           0.035,           0.024,           0.097,          -0.044,          -0.021,          -0.050,          -0.077,           0.044,          -0.023,           0.017,           0.103,          -0.059,           0.067,          -0.045,          -0.016,          -0.061,          -0.046,           0.081,           0.136,          -0.040,           0.030,           0.137,           0.063,           0.040,           0.018,           0.000,           0.075,           0.091,           0.085,           0.042,           0.053,           0.077,           0.014,           0.015,           0.052
      17,          0.266667,           3.459,           0.479,           0.060,           0.027,           0.109,           0.249,           0.143,           0.233,           0.138,           0.004,           0.108,           0.001,          -0.101,           0.164,           0.086,           0.056,           0.092,           0.158,           0.175,           0.113,           0.205,           0.238,           0.033,          -0.134,          -0.103,          -0.067,           0.021,           0.000,           0.105,           0.121,           0.091,           0.046,           0.059,           0.094,           0.020,          -0.011,          -0.088
      18,          0.283333,           3.916,          -0.060,           0.091,           0.034,           0.116,           0.269,           0.124,           0.238,           0.122,           0.010,           0.100,           0.000,          -0.098,           0.226,           0.036,           0.065,           0.112,           0.226,           0.212,           0.123,           0.229,           0.263,           0.035,          -0.112,          -0.108,          -0.112,          -0.014,           0.004,           0.106,           0.123,           0.082,           0.048,           0.066,           0.036,           0.006,          -0.031,          -0.113
      19,          0.300000,           4.389,           0.089,           0.127,           0.035,           0.098,           0.269,           0.105,           0.229,           0.103,           0.014,           0.074,           0.001,          -0.071,           0.230,           0.030,           0.085,           0.134,           0.235,           0.199,           0.126,           0.236,           0.264,           0.035,          -0.088,          -0.085,          -0.125,          -0.035,           0.005,           0.110,           0.126,           0.064,           0.050,           0.085,           0.030,           0.005,          -0.040,          -0.123
      20,          0.316667,           4.881,          -0.048,           0.167,           0.034,           0.087,           0.264,           0.094,           0.213,           0.092,           0.013,           0.065,           0.001,          -0.061,           0.232,           0.028,           0.095,           0.146,           0.232,           0.174,           0.124,           0.236,           0.263,           0.034,          -0.078,          -0.073,          -0.109,          -0.058,           0.001,           0.112,           0.124,           0.053,           0.051,           0.096,           0.029,           0.002,          -0.051,          -0.118
      21,          0.333333,           5.373,           0.378,           0.206,           0.032,           0.080,           0.258,           0.086,           0.196,           0.084,           0.014,           0.053,           0.001,          -0.050,           0.231,           0.026,           0.098,           0.151,           0.228,           0.149,           0.129,           0.237,           0.262,           0.032,          -0.069,          -0.063,          -0.096,          -0.078,          -0.003,           0.108,           0.129,           0.048,           0.054,           0.098,           0.026,          -0.003,          -0.062,          -0.109
      22,          0.350000,           5.873,           1.045,           0.244,           0.029,           0.070,           0.250,           0.077,           0.175,           0.075,           0.015,           0.042,           0.001,          -0.039,           0.230,           0.025,           0.094,           0.161,           0.220,           0.122,           0.128,           0.234,           0.259,           0.029,          -0.059,          -0.053,          -0.079,          -0.098,          -0.009,           0.106,           0.128,           0.041,           0.067,           0.095,           0.025,          -0.008,          -0.075,          -0.097
      23,          0.366667,           6.404,           1.356,           0.280,           0.025,           0.058,           0.242,           0.064,           0.152,           0.062,           0.011,           0.035,           0.001,          -0.032,           0.227,           0.024,           0.090,           0.169,           0.207,           0.102,           0.127,           0.232,           0.256,           0.025,          -0.050,          -0.043,          -0.067,          -0.104,          -0.019,           0.105,           0.127,           0.034,           0.079,           0.090,           0.024,          -0.014,          -0.089,          -0.087
      24,          0.383333,           7.060,           1.234,           0.313,           0.021,           0.050,           0.231,           0.053,           0.129,           0.050,           0.008,           0.031,           0.001,          -0.028,           0.223,           0.023,           0.086,           0.174,           0.188,           0.093,           0.126,           0.230,           0.252,           0.021,          -0.042,          -0.035,          -0.062,          -0.094,          -0.035,           0.103,           0.126,           0.029,           0.088,           0.086,           0.023,          -0.021,          -0.101,          -0.076
      25,          0.400000,           7.843,          -1.317,           0.345,           0.019,           0.045,           0.216,           0.044,           0.114,           0.041,           0.005,           0.028,           0.001,          -0.025,           0.217,           0.021,           0.085,           0.173,           0.167,           0.083,           0.125,           0.227,           0.248,           0.019,          -0.036,          -0.030,          -0.055,          -0.082,          -0.050,           0.102,           0.125,           0.026,           0.088,           0.085,           0.021,          -0.031,          -0.102,          -0.070
      26,          0.416667,           8.754,          -0.539,           0.372,           0.016,           0.039,           0.197,           0.038,           0.102,           0.036,           0.004,           0.024,           0.001,          -0.021,           0.211,           0.019,           0.083,           0.170,           0.143,           0.074,           0.124,           0.223,           0.243,           0.016,          -0.031,          -0.025,          -0.050,          -0.071,          -0.063,           0.100,           0.124,           0.023,           0.088,           0.083,           0.019,          -0.042,          -0.096,          -0.064
      27,          0.433333,           9.808,           1.097,           0.397,           0.015,           0.036,           0.180,           0.033,           0.092,           0.031,           0.004,           0.019,           0.001,          -0.016,           0.203,           0.016,           0.082,           0.169,           0.126,           0.062,           0.123,           0.220,           0.237,           0.015,          -0.026,          -0.020,          -0.042,          -0.062,          -0.080,           0.098,           0.123,           0.021,           0.087,           0.082,           0.016,          -0.055,          -0.088,          -0.059
      28,          0.450000,          10.964,          -0.298,           0.421,           0.012,           0.029,           0.164,           0.029,           0.084,           0.027,           0.005,           0.015,           0.001,          -0.012,           0.194,           0.014,           0.080,           0.165,           0.108,           0.052,           0.122,           0.218,           0.232,           0.012,          -0.022,          -0.016,          -0.037,          -0.056,          -0.085,           0.096,           0.122,           0.018,           0.086,           0.080,           0.014,          -0.068,          -0.079,          -0.054
      29,          0.466667,          12.421,           5.757,           0.443,           0.008,           0.021,           0.147,           0.025,           0.075,           0.023,           0.004,           0.013,           0.000,          -0.011,           0.181,           0.011,           0.077,           0.161,           0.094,           0.045,           0.121,           0.215,           0.225,           0.008,          -0.019,          -0.014,          -0.032,          -0.052,          -0.083,           0.094,           0.121,           0.013,           0.083,           0.077,           0.011,          -0.078,          -0.072,          -0.050
      30,          0.483333,          14.109,           7.373,           0.460,           0.005,           0.012,           0.132,           0.021,           0.066,           0.020,           0.003,           0.012,           0.000,          -0.010,           0.166,           0.007,           0.075,           0.155,           0.087,           0.040,           0.119,           0.211,           0.217,           0.005,          -0.017,          -0.012,          -0.028,          -0.047,          -0.078,           0.092,           0.119,           0.007,           0.080,           0.075,           0.007,          -0.085,          -0.065,          -0.045
      31,          0.500000,          15.927,           8.665,           0.476,           0.002,           0.004,           0.120,           0.018,           0.059,           0.017,           0.002,           0.010,           0.000,          -0.008,           0.151,           0.002,           0.071,           0.148,           0.080,           0.035,           0.117,           0.206,           0.208,           0.002,          -0.014,          -0.010,          -0.025,          -0.044,          -0.071,           0.089,           0.117,           0.002,           0.077,           0.071,           0.002,          -0.088,          -0.061,          -0.040
      32,          0.516667,          17.816,           6.268,           0.491,           0.000,          -0.002,           0.111,           0.016,           0.053,           0.015,           0.002,           0.008,           0.000,          -0.006,           0.136,          -0.001,           0.066,           0.139,           0.071,           0.030,           0.115,           0.200,           0.198,           0.000,          -0.012,          -0.008,          -0.022,          -0.041,          -0.065,           0.085,           0.115,          -0.002,           0.073,           0.067,          -0.001,          -0.087,          -0.058,          -0.037
      33,          0.533333,          20.457,           7.111,           0.503,          -0.002,          -0.009,           0.103,           0.015,           0.048,           0.013,           0.002,           0.007,           0.000,          -0.005,           0.121,          -0.007,           0.063,           0.131,           0.061,           0.025,           0.112,           0.194,           0.187,          -0.002,          -0.011,          -0.006,          -0.018,          -0.036,          -0.060,           0.082,           0.112,          -0.007,           0.069,           0.063,          -0.007,          -0.084,          -0.054,          -0.033
      34,          0.550000,          24.206,           8.245,           0.515,          -0.004,          -0.017,           0.096,           0.013,           0.044,           0.012,           0.002,           0.005,           0.000,          -0.003,           0.106,          -0.012,           0.059,           0.123,           0.051,           0.020,           0.110,           0.188,           0.176,          -0.004,          -0.010,          -0.005,          -0.015,          -0.031,          -0.054,           0.079,           0.110,          -0.013,           0.065,           0.059,          -0.012,          -0.079,          -0.052,          -0.030
      35,          0.566667,          28.460,           9.317,           0.524,          -0.007,          -0.023,           0.088,           0.012,           0.040,           0.011,           0.002,           0.003,           0.000,          -0.002,           0.090,          -0.018,           0.055,           0.114,           0.041,           0.016,           0.107,           0.183,           0.164,          -0.007,          -0.008,          -0.004,          -0.012,          -0.025,          -0.049,           0.075,           0.108,          -0.017,           0.060,           0.055,          -0.018,          -0.074,          -0.049,          -0.028
      36,          0.583333,          31.477,          10.741,           0.533,          -0.009,          -0.027,           0.082,           0.010,           0.036,           0.010,           0.002,           0.003,           0.000,          -0.001,           0.077,          -0.024,           0.050,           0.104,           0.034,           0.013,           0.105,           0.176,           0.153,          -0.009,          -0.007,          -0.003,          -0.010,          -0.021,          -0.041,           0.072,           0.105,          -0.018,           0.055,           0.050,          -0.023,          -0.070,          -0.046,          -0.025
      37,          0.600000,          34.276,          12.215,           0.539,          -0.010,          -0.029,           0.076,           0.009,           0.032,           0.008,           0.002,           0.001,           0.000,          -0.000,           0.057,          -0.028,           0.041,           0.087,           0.024,           0.008,           0.102,           0.170,           0.141,          -0.010,          -0.006,          -0.002,          -0.006,          -0.015,          -0.033,           0.068,           0.102,          -0.019,           0.045,           0.041,          -0.028,          -0.065,          -0.043,          -0.023
      38,          0.616667,          36.703,          13.832,           0.545,          -0.009,          -0.025,           0.068,           0.008,           0.029,           0.007,           0.002,           0.001,           0.000,           0.000,           0.041,          -0.032,           0.033,           0.067,           0.016,           0.005,           0.099,           0.162,           0.129,          -0.009,          -0.005,          -0.001,          -0.004,          -0.011,          -0.024,           0.064,           0.099,          -0.016,           0.034,           0.033,          -0.032,          -0.061,          -0.039,          -0.020
      39,          0.633333,          38.800,          16.063,           0.548,          -0.006,          -0.020,           0.061,           0.006,           0.025,           0.006,           0.001,           0.001,           0.000,           0.000,           0.028,          -0.035,           0.025,           0.049,           0.011,           0.003,           0.095,           0.154,           0.119,          -0.006,          -0.004,          -0.001,          -0.002,          -0.007,          -0.017,           0.059,           0.095,          -0.013,           0.024,           0.025,          -0.035,          -0.058,          -0.036,          -0.018
      40,          0.650000,          40.686,          18.577,           0.551,          -0.004,          -0.013,           0.054,           0.005,           0.022,           0.005,           0.001,           0.001,           0.000,           0.000,           0.020,          -0.036,           0.018,           0.034,           0.007,           0.002,           0.092,           0.146,           0.109,          -0.004,          -0.004,          -0.000,          -0.001,          -0.005,          -0.013,           0.054,           0.092,          -0.009,           0.015,           0.018,          -0.036,          -0.055,          -0.032,          -0.016
      41,          0.666667,          42.426,          21.477,           0.552,          -0.002,          -0.008,           0.048,           0.004,           0.019,           0.004,           0.001,           0.001,           0.000,           0.000,           0.013,          -0.036,           0.013,           0.022,           0.004,           0.001,           0.088,           0.137,           0.101,          -0.002,          -0.003,           0.000,           0.000,          -0.003,          -0.009,           0.049,           0.088,          -0.006,           0.009,           0.013,          -0.036,          -0.052,          -0.029,          -0.014
      42,          0.683333,          44.043,          24.275,           0.552,          -0.001,          -0.005,           0.043,           0.004,           0.016,           0.003,           0.000,           0.000,           0.000,           0.001,           0.009,          -0.035,           0.009,           0.015,           0.002,           0.000,           0.084,           0.127,           0.092,          -0.001,          -0.002,           0.000,           0.000,          -0.002,          -0.006,           0.043,           0.084,          -0.004,           0.006,           0.009,          -0.034,          -0.049,          -0.026,          -0.012
      43,          0.700000,          45.293,          26.812,           0.551,          -0.000,          -0.003,           0.038,           0.003,           0.014,           0.002,           0.000,           0.000,           0.000,           0.000,           0.006,          -0.032,           0.007,           0.010,           0.001,           0.000,           0.079,           0.115,           0.083,          -0.000,          -0.002,           0.000,           0.001,          -0.001,          -0.004,           0.037,           0.079,          -0.003,           0.003,           0.007,          -0.032,          -0.045,          -0.024,          -0.011
      44,          0.716667,          46.110,          29.358,           0.549,          -0.000,          -0.002,           0.034,           0.002,           0.012,           0.002,           0.000,           0.001,           0.000,           0.000,           0.004,          -0.028,           0.005,           0.007,           0.000,           0.000,           0.073,           0.102,           0.076,          -0.000,          -0.002,           0.001,           0.001,          -0.000,          -0.003,           0.030,           0.073,          -0.002,           0.002,           0.005,          -0.028,          -0.040,          -0.021,          -0.010
      45,          0.733333,          46.617,          31.676,           0.547,           0.000,          -0.001,           0.027,           0.002,           0.009,           0.001,           0.000,           0.000,           0.000,           0.000,           0.003,          -0.025,           0.004,           0.005,           0.000,           0.000,           0.066,           0.088,           0.062,           0.000,          -0.001,           0.001,           0.001,          -0.000,          -0.002,           0.022,           0.066,          -0.001,           0.002,           0.004,          -0.025,          -0.035,          -0.017,          -0.008
      46,          0.750000,          46.929,          34.018,           0.543,           0.000,          -0.001,           0.022,           0.001,           0.007,           0.001,           0.000,           0.000,           0.000,           0.000,           0.002,          -0.021,           0.003,           0.004,           0.000,           0.000,           0.059,           0.074,           0.052,           0.000,          -0.000,           0.001,           0.001,           0.000,          -0.002,           0.016,           0.059,          -0.001,           0.001,           0.003,          -0.021,          -0.030,          -0.015,          -0.006
      47,          0.766667,          47.126,          36.577,           0.539,           0.000,          -0.001,           0.018,           0.001,           0.006,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,          -0.018,           0.002,           0.003,           0.000,           0.000,           0.052,           0.063,           0.044,           0.000,           0.000,           0.001,           0.001,           0.000,          -0.001,           0.010,           0.053,          -0.001,           0.001,           0.002,          -0.018,          -0.026,          -0.012,          -0.005
      48,          0.783333,          47.238,          39.596,           0.533,           0.000,          -0.000,           0.014,           0.001,           0.004,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,          -0.016,           0.002,           0.002,           0.000,           0.000,           0.046,           0.052,           0.036,           0.000,           0.000,           0.000,           0.001,           0.000,          -0.001,           0.007,           0.046,          -0.000,           0.001,           0.002,          -0.016,          -0.022,          -0.010,          -0.003
      49,          0.800000,          47.305,          43.230,           0.527,           0.000,          -0.001,           0.011,           0.001,           0.003,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,          -0.013,           0.001,           0.002,           0.000,           0.000,           0.039,           0.043,           0.029,           0.000,           0.000,           0.000,           0.001,           0.000,          -0.000,           0.003,           0.040,          -0.000,           0.001,           0.001,          -0.013,          -0.018,          -0.008,          -0.002
      50,          0.816667,          47.356,          47.343,           0.520,           0.000,          -0.000,           0.008,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.010,           0.001,           0.001,           0.000,           0.000,           0.033,           0.035,           0.023,           0.000,           0.000,           0.000,           0.001,           0.000,          -0.000,           0.001,           0.033,           0.000,           0.000,           0.001,          -0.010,          -0.015,          -0.006,          -0.001
      51,          0.833333,          47.392,          51.092,           0.513,           0.000,           0.000,           0.006,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.009,           0.000,           0.001,           0.000,           0.000,           0.028,           0.028,           0.019,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.028,           0.000,           0.001,           0.000,          -0.008,          -0.012,          -0.005,          -0.001
      52,          0.850000,          47.420,          54.231,           0.505,           0.000,           0.000,           0.004,           0.000,           0.001,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.006,           0.001,           0.001,           0.000,           0.000,           0.023,           0.022,           0.015,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.023,           0.000,           0.001,           0.001,          -0.006,          -0.010,          -0.004,          -0.000
      53,          0.866667,          47.438,          56.728,           0.497,           0.000,           0.000,           0.003,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.005,           0.000,           0.000,           0.000,           0.000,           0.018,           0.017,           0.011,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.018,           0.000,          -0.000,           0.000,          -0.005,          -0.008,          -0.003,           0.000
      54,          0.883333,          47.450,          58.765,           0.487,           0.000,           0.000,           0.002,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.004,           0.000,           0.001,           0.000,           0.000,           0.015,           0.013,           0.009,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.015,           0.000,           0.001,           0.000,          -0.004,          -0.007,          -0.002,           0.000
      55,          0.900000,          47.460,          60.475,           0.478,           0.000,           0.000,           0.001,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.003,           0.000,           0.000,           0.000,           0.000,           0.011,           0.010,           0.007,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.011,           0.000,          -0.000,           0.001,          -0.003,          -0.005,          -0.001,           0.000
      56,          0.916667,          47.469,          61.966,           0.468,           0.000,           0.000,           0.001,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.002,           0.000,           0.001,           0.000,           0.000,           0.009,           0.008,           0.005,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.009,           0.000,           0.000,           0.000,          -0.002,          -0.004,          -0.001,           0.000
      57,          0.933333,          47.475,          63.260,           0.458,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.000,           0.001,           0.000,           0.000,           0.007,           0.006,           0.004,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.007,           0.000,           0.002,           0.000,          -0.001,          -0.003,          -0.000,           0.000
      58,          0.950000,          47.477,          64.425,           0.448,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.000,           0.000,           0.000,           0.000,           0.005,           0.004,           0.003,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.005,           0.000,           0.000,           0.000,          -0.001,          -0.003,          -0.000,           0.000
      59,          0.966667,          47.475,          65.469,           0.437,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.000,           0.000,           0.000,           0.000,           0.004,           0.003,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.004,           0.000,          -0.000,           0.000,          -0.001,          -0.002,           0.000,           0.000
      60,          0.983333,          47.473,          66.412,           0.426,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.003,           0.002,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.003,           0.000,          -0.000,           0.000,          -0.000,          -0.001,           0.000,           0.000
      61,          1.000000,          47.470,          67.274,           0.416,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.002,           0.002,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.002,           0.000,           0.000,           0.000,          -0.000,          -0.001,           0.000,           0.000
      62,          1.016667,          47.465,          68.062,           0.404,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.001,           0.000,           0.000,           0.001,           0.001,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.001,           0.000,           0.001,          -0.000,          -0.000,          -0.001,           0.000,           0.000
      63,          1.033333,          47.453,          68.782,           0.393,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.001,           0.000,           0.000,           0.001,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.001,           0.000,           0.001,           0.000,           0.000,          -0.000,           0.000,           0.000
