"EG15_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_008.tcf]","Node ID","Hmax","Time Hmax"
     1,"FC01.1_R.1",     49.8577,      0.9506
     2,"FC01.1_R.2",     47.3962,      0.9583
     3,"FC01.2_R.1",     42.7854,      1.2475
     4,"FC01.2_R.2",     40.7782,      1.2572
     5,"FC04.1_C.1",     43.6683,      0.6824
     6,"FC04.1_C.2",     43.0758,      1.2267
     7,"Node20.1",      0.0000,      0.0000
     8,"Node20.2",     44.6817,      3.0001
     9,"Node21.1",      0.0000,      0.0000
    10,"Node21.2",     45.1720,      3.0001
    11,"Pipe16.2",     43.5954,      3.0001
    12,"Pit10",     43.5982,      3.0001
    13,"Pit10.1",     43.5833,      2.9997
    14,"Pit11",     43.5924,      2.9999
    15,"Pit11.1",     43.5833,      3.0000
    16,"Pit12",     43.5913,      3.0001
    17,"Pit12.1",     43.5833,      3.0001
    18,"Pit13",     43.5959,      2.9997
    19,"Pit13.1",     43.5833,      3.0001
    20,"Pit14",     43.6042,      2.9992
    21,"Pit14.1",     43.5833,      2.9995
    22,"Pit15",     43.6336,      2.9992
    23,"Pit15.1",     43.5833,      3.0001
    24,"Pit16",     43.7631,      3.0001
    25,"Pit16.1",     43.5833,      3.0001
    26,"Pit18.1",      0.0000,      0.0000
    27,"Pit18.2",      0.0000,      0.0000
    28,"Pit19.1",      0.0000,      0.0000
    29,"Pit19.2",      0.0000,      0.0000
    30,"Pit2.1",      0.0000,      0.0000
    31,"Pit2.2",      0.0000,      0.0000
    32,"Pit3.1",      0.0000,      0.0000
    33,"Pit3.2",      0.0000,      0.0000
    34,"Pit4.1",      0.0000,      0.0000
    35,"Pit4.2",      0.0000,      0.0000
    36,"Pit5.1",      0.0000,      0.0000
    37,"Pit5.2",      0.0000,      0.0000
    38,"Pit6.1",      0.0000,      0.0000
    39,"Pit6.2",      0.0000,      0.0000
    40,"Pit7",     43.8318,      2.9997
    41,"Pit7.1",     43.5833,      3.0001
    42,"Pit8",     43.6455,      3.0001
    43,"Pit8.1",     43.5833,      3.0001
    44,"Pit9",     43.6122,      2.9996
    45,"Pit9.1",     43.5833,      3.0001
