No,Channel,US Node,DS Node,US Channel,DS Channel,Flags,Length,Form Loss,n or Cd,pSlope,US Invert,DS Invert,LBUS Obvert,RBUS Obvert,LBDS Obvert,RBDS Obvert,pBlockage
    34,"FC01.1_R","FC01.1_R.1","FC01.1_R.2","------","------","R",            10.4,   0.000,   0.012,   8.6,    45.400,    44.500,    47.200,    47.200,    46.300,    46.300,     0.000
    33,"FC01.2_R","FC01.2_R.1","FC01.2_R.2","------","------","R",            12.6,   0.000,   0.012,   0.8,    37.600,    37.500,    38.800,    38.800,    38.700,    38.700,     0.000
    32,"FC04.1_C","FC04.1_C.1","FC04.1_C.2","------","------","C",            23.9,   0.000,   0.012,   2.5,    43.350,    42.750,    44.550,    44.550,    43.950,    43.950,     0.000
     7,"Node20","Node20.1","Node20.2","------","------","Q(VPO)",             0.0,   0.000,   0.012,   0.0,    43.277,    43.277,    44.277,    44.277,    44.277,    44.277,     0.000
     8,"Node21","Node21.1","Node21.2","------","------","Q(VPO)",             0.0,   0.000,   0.012,   0.0,    43.281,    43.281,    44.281,    44.281,    44.281,    44.281,     0.000
    20,"Pipe10","Pit7","Pit8","Pipe9","Pipe12","C",            32.6,   0.000,   0.015,   0.5,    41.155,    40.988,    41.755,    41.755,    41.588,    41.588,     0.000
    19,"Pipe11","Pit9","Pit10","Pipe12","Pipe13","C",            26.9,   0.000,   0.015,   0.2,    40.808,    40.766,    41.408,    41.408,    41.366,    41.366,     0.000
    18,"Pipe12","Pit8","Pit9","Pipe10","Pipe11","C",            28.4,   0.000,   0.015,   0.6,    40.988,    40.808,    41.588,    41.588,    41.408,    41.408,     0.000
    17,"Pipe13","Pit10","Pit11","Pipe11","Pipe14","C",            21.3,   0.000,   0.015,   0.5,    40.766,    40.660,    41.366,    41.366,    41.260,    41.260,     0.000
    16,"Pipe14","Pit11","Pit12","Pipe13","Pipe17","C",            26.3,   0.000,   0.015,   0.5,    40.660,    40.526,    41.260,    41.260,    41.126,    41.126,     0.000
    15,"Pipe15","Pit14","Pit13","Pipe6","Pipe16","C",            13.8,   0.000,   0.015,   6.3,    40.869,    40.000,    41.469,    41.469,    40.600,    40.600,     0.000
    14,"Pipe16","Pit13","Pipe16.2","Pipe17","------","C",            72.8,   0.000,   0.015,   0.3,    40.000,    39.800,    40.900,    40.900,    40.700,    40.700,     0.000
    13,"Pipe17","Pit12","Pit13","Pipe14","Pipe16","C",            21.2,   0.000,   0.015,   2.5,    40.526,    40.000,    41.126,    41.126,    40.600,    40.600,     0.000
    12,"Pipe19","Node20.2","Pit16","------","Pipe5","C",            31.7,   0.000,   0.015,   2.2,    41.850,    41.146,    42.450,    42.450,    41.746,    41.746,     0.000
    11,"Pipe5","Pit16","Pit15","Pipe19","Pipe6","C",            36.5,   0.000,   0.015,   0.5,    41.146,    40.974,    41.746,    41.746,    41.574,    41.574,     0.000
    10,"Pipe6","Pit15","Pit14","Pipe5","Pipe15","C",            31.4,   0.000,   0.015,   0.3,    40.974,    40.869,    41.574,    41.574,    41.469,    41.469,     0.000
    21,"Pipe9","Node21.2","Pit7","------","Pipe10","C",            30.0,   0.000,   0.015,   2.2,    41.810,    41.155,    42.410,    42.410,    41.755,    41.755,     0.000
    25,"Pit10","Pit10.1","Pit10","------","------","Q",             0.0,   0.000,   0.012,   0.0,    42.753,    42.753,    42.901,    42.901,    42.901,    42.901,     0.000
    26,"Pit11","Pit11.1","Pit11","------","------","Q",             0.0,   0.000,   0.012,   0.0,    42.776,    42.776,    42.924,    42.924,    42.924,    42.924,     0.000
