"EG15_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_005.tcf]","Node ID","Hmax","Time Hmax"
     1,"FC01.1_R.1",     49.8577,      0.9503
     2,"FC01.1_R.2",     47.3962,      0.9583
     3,"FC01.2_R.1",     42.7854,      1.2475
     4,"FC01.2_R.2",     40.7782,      1.2569
     5,"FC04.1_C.1",     43.6683,      0.6810
     6,"FC04.1_C.2",     43.0758,      1.2266
     7,"mh1",     43.5779,      3.0001
     8,"mh2",     43.5779,      3.0001
     9,"mh3",     43.5779,      3.0001
    10,"mh4",     43.5779,      3.0001
    11,"Pipe16.2",     43.5774,      3.0001
    12,"Pit1",     43.5784,      2.9999
    13,"Pit1.1",     43.5784,      2.9996
    14,"Pit11",     43.5784,      2.9997
    15,"Pit11.1",     43.5784,      3.0000
    16,"Pit12",     43.5784,      2.9986
    17,"Pit12.1",     43.5784,      3.0001
    18,"Pit14",     43.5784,      2.9990
    19,"Pit14.1",     43.5784,      3.0001
    20,"Pit15",     43.5784,      3.0001
    21,"Pit15.1",     43.5784,      3.0001
    22,"Pit16",     43.5784,      2.9997
    23,"Pit16.1",     43.5784,      2.9997
    24,"Pit18",     43.5784,      2.9995
    25,"Pit18.1",     43.5784,      2.9996
    26,"Pit19",     43.5784,      3.0000
    27,"Pit19.1",     43.5784,      3.0001
    28,"Pit2",     43.5784,      2.9997
    29,"Pit2.1",     43.5784,      3.0001
    30,"Pit4",     43.5784,      2.9982
    31,"Pit4.1",     43.5784,      3.0001
    32,"Pit5",     43.5784,      3.0001
    33,"Pit5.1",     43.5784,      3.0001
    34,"Pit6",     43.5784,      2.9996
    35,"Pit6.1",     43.5784,      3.0001
    36,"Pit7",     43.5784,      2.9995
    37,"Pit7.1",     43.5784,      2.9993
    38,"Pit8",     43.5784,      2.9997
    39,"Pit8.1",     43.5784,      2.9993
    40,"Pit9",     43.5784,      3.0001
    41,"Pit9.1",     43.5784,      3.0001
