"EG15_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_007.tcf]","Chan ID","Qmax","Time Qmax","Vmax","Time Vmax"
     1,"FC01.1_R",          47.477,          0.9502,      8.1407,          0.9502
     2,"FC01.2_R",          70.984,          1.1710,      4.9294,          1.1710
     3,"FC04.1_C",           0.552,          0.6811,      1.1518,          0.6811
     4,"Node20",           1.547,          0.6921,      0.0000,          0.0000
     5,"Pit10",           0.000,          0.0000,      0.0000,          0.0000
     6,"Pit11",           0.000,          0.0000,      0.0000,          0.0000
     7,"Pit13",           0.000,          0.0000,      0.0000,          0.0000
     8,"Pit15",           0.000,          0.0000,      0.0000,          0.0000
     9,"Pit18",           0.000,          0.0000,      0.0000,          0.0000
    10,"Pit19",           0.000,          0.0000,      0.0000,          0.0000
    11,"Pit2",           0.000,          0.0000,      0.0000,          0.0000
    12,"Pit4",           0.000,          0.0000,      0.0000,          0.0000
    13,"Pit5",           0.000,          0.0000,      0.0000,          0.0000
    14,"Pit6",           0.000,          0.0000,      0.0000,          0.0000
    15,"Pit7",           0.000,          0.0000,      0.0000,          0.0000
    16,"Pit9",           0.000,          0.0000,      0.0000,          0.0000
