"ds1.1 to FC02.06.1","Node:","ds1.1","ds1.2","ds2.2","ds3.2","ds4.2","ds5.2","ds_weir.2","FC01.01.1","FC01.02.1","FC01.03.1","FC01.04.1","FC01.05.1","FC01.06.1","FC01.07.1","FC01.08.1","FC01.09.1","FC01.12.1","FC01.12.2","FC01.13.1","FC01.14.1","FC01.15.1","FC01.16.1","FC01.17.1","FC01.18.1","FC01.19.1","FC01.1_R.1","FC01.1_R.2","FC01.20.1","FC01.21.1","FC01.22.1","FC01.23.1","FC01.24.1","FC01.25.1","FC01.26.1","FC01.27.1","FC01.28A.1","FC01.28B.1","FC01.29.1","FC01.30.1","FC01.31.1","FC01.32.1","FC01.33.1","FC01.36.1","FC01.37.1","FC01.38.1","FC01.39.1","FC01.40.1","FC02.01.1","FC02.02.1","FC02.03.1","FC02.04.1","FC02.05.1","FC02.06.1"
       7,    0.100000,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
       8,    0.116667,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
       9,    0.133333,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      10,    0.150000,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      11,    0.166667,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      12,    0.183333,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      13,    0.200000,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      14,    0.216667,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      15,    0.233333,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      16,    0.250000,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      17,    0.266667,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      18,    0.283333,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      19,    0.300000,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      20,    0.316667,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      21,    0.333333,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      22,    0.350000,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      23,    0.366667,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      24,    0.383333,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      25,    0.400000,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0
      26,    0.416667,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      27,    0.433333,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,      0.0
      28,    0.450000,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0
      29,    0.466667,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0
      30,    0.483333,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0
      31,    0.500000,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      32,    0.516667,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0
      33,    0.533333,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0
      34,    0.550000,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      35,    0.566667,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0
      36,    0.583333,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      37,    0.600000,     -0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      38,    0.616667,      0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0
      39,    0.633333,      0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      40,    0.650000,      0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0
      41,    0.666667,     -0.0,     -0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,      0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,     -0.0,      0.0,     -0.0,      0.0,      0.0,      0.0,     -0.0,     -0.0,      0.0,      0.0,      0.0
