"EG12_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_003.tcf]","Time (h)","Q FC01.1_R [EG12_003]","Q FC01.2_R [EG12_003]","Q FC04.1_C [EG12_003]","Q OC_001 [EG12_003]"
      53,          0.866667,          47.415,          50.034,           0.000,           1.000
      54,          0.883333,          47.428,          52.677,           0.000,           1.000
      55,          0.900000,          47.439,          54.782,           0.000,           1.000
      56,          0.916667,          47.448,          56.516,           0.000,           1.000
      57,          0.933333,          47.456,          57.974,           0.000,           1.000
      58,          0.950000,          47.458,          59.218,           0.000,           1.000
      59,          0.966667,          47.458,          60.292,           0.000,           1.000
      60,          0.983333,          47.456,          61.243,           0.000,           1.000
      61,          1.000000,          47.453,          62.109,           0.000,           1.000
      62,          1.016667,          47.449,          62.891,           0.000,           1.000
      63,          1.033333,          47.437,          63.598,           0.000,           1.000
      64,          1.050000,          47.422,          64.247,           0.000,           1.000
      65,          1.066667,          47.406,          64.871,           0.000,           1.000
      66,          1.083333,          47.388,          65.489,           0.000,           1.000
      67,          1.100000,          47.368,          66.056,           0.000,           1.000
      68,          1.116667,          47.330,          66.581,           0.000,           1.000
      69,          1.133333,          47.285,          67.064,           0.000,           1.000
      70,          1.150000,          47.232,          67.511,           0.000,           1.000
      71,          1.166667,          47.176,          67.916,           0.000,           0.940
      72,          1.183333,          47.118,          68.285,           0.000,           0.840
      73,          1.200000,          47.055,          68.616,           0.000,           0.740
      74,          1.216667,          46.988,          68.911,           0.000,           0.640
      75,          1.233333,          46.919,          69.171,           0.000,           0.540
      76,          1.250000,          46.848,          69.397,           0.000,           0.440
      77,          1.266667,          46.773,          69.591,           0.000,           0.340
      78,          1.283333,          46.684,          69.754,           0.000,           0.240
      79,          1.300000,          46.587,          69.888,           0.000,           0.140
      80,          1.316667,          46.482,          69.994,           0.000,           0.040
      81,          1.333333,          46.372,          70.067,           0.000,           0.000
      82,          1.350000,          46.257,          70.108,           0.000,           0.000
      83,          1.366667,          46.136,          70.114,           0.000,           0.000
      84,          1.383333,          46.008,          70.088,           0.000,           0.000
      85,          1.400000,          45.872,          70.029,           0.000,           0.000
      86,          1.416667,          45.728,          69.938,           0.000,           0.000
      87,          1.433333,          45.573,          69.815,           0.000,           0.000
      88,          1.450000,          45.414,          69.659,           0.000,           0.000
      89,          1.466667,          45.244,          69.472,           0.000,           0.000
      90,          1.483333,          45.060,          69.253,           0.000,           0.000
      91,          1.500000,          44.861,          69.004,           0.000,           0.000
      92,          1.516667,          44.643,          68.725,           0.000,           0.000
      93,          1.533333,          44.404,          68.418,           0.000,           0.000
      94,          1.550000,          44.131,          68.082,           0.000,           0.000
      95,          1.566667,          43.804,          67.718,           0.000,           0.000
      96,          1.583333,          43.414,          67.327,           0.000,           0.000
      97,          1.600000,          42.963,          66.913,           0.000,           0.000
      98,          1.616667,          42.482,          66.481,           0.000,           0.000
      99,          1.633333,          41.961,          66.033,           0.000,           0.000
     100,          1.650000,          41.403,          65.571,           0.000,           0.000
     101,          1.666667,          40.795,          65.094,           0.000,           0.000
     102,          1.683333,          40.138,          64.601,           0.000,           0.000
     103,          1.700000,          39.418,          64.093,           0.000,           0.000
     104,          1.716667,          38.628,          63.568,           0.000,           0.000
     105,          1.733333,          37.768,          63.024,           0.000,           0.000
     106,          1.750000,          36.829,          62.458,           0.000,           0.000
     107,          1.766667,          35.804,          61.862,           0.000,           0.000
     108,          1.783333,          34.728,          61.239,           0.000,           0.000
     109,          1.800000,          33.601,          60.584,           0.000,           0.000
     110,          1.816667,          32.403,          59.892,           0.000,           0.000
     111,          1.833333,          31.142,          59.161,           0.000,           0.000
     112,          1.850000,          29.815,          58.380,           0.000,           0.000
     113,          1.866667,          28.439,          57.540,           0.000,           0.000
     114,          1.883333,          26.692,          56.633,           0.000,           0.000
     115,          1.900000,          25.039,          55.650,           0.000,           0.000
     116,          1.916667,          23.646,          54.582,           0.000,           0.000
     117,          1.933333,          22.482,          53.424,           0.000,           0.000
     118,          1.950000,          21.513,          52.170,           0.000,           0.000
     119,          1.966667,          20.727,          50.802,           0.000,           0.000
     120,          1.983333,          20.075,          49.298,           0.000,           0.000
     121,          2.000000,          19.528,          47.641,           0.000,           0.000
     122,          2.016667,          19.066,          45.799,           0.000,           0.000
     123,          2.033334,          18.625,          43.780,           0.000,           0.000
     124,          2.050000,          18.200,          41.559,           0.000,           0.000
     125,          2.066667,          17.773,          39.207,           0.000,           0.000
     126,          2.083333,          17.339,          36.787,           0.000,           0.000
     127,          2.100000,          16.901,          34.346,           0.000,           0.000
     128,          2.116667,          16.451,          31.985,           0.000,           0.000
     129,          2.133333,          15.975,          29.728,           0.000,           0.000
     130,          2.150000,          15.475,          27.587,           0.000,           0.000
     131,          2.166667,          14.960,          25.603,           0.000,           0.000
     132,          2.183333,          14.465,          23.837,           0.000,           0.000
     133,          2.200000,          13.955,          22.259,           0.000,           0.000
     134,          2.216667,          13.538,          20.923,           0.000,           0.000
     135,          2.233333,          13.200,          19.819,           0.000,           0.000
     136,          2.250000,          12.908,          18.846,           0.000,           0.000
     137,          2.266667,          12.657,          18.055,           0.000,           0.000
     138,          2.283334,          12.434,          17.391,           0.000,           0.000
     139,          2.300000,          12.202,          16.807,           0.000,           0.000
     140,          2.316667,          11.978,          16.270,           0.000,           0.000
     141,          2.333333,          11.733,          15.782,           0.000,           0.000
     142,          2.350000,          11.478,          15.337,           0.000,           0.000
     143,          2.366667,          11.268,          14.932,           0.000,           0.000
     144,          2.383333,          11.025,          14.583,           0.000,           0.000
     145,          2.400000,          10.814,          14.240,           0.000,           0.000
     146,          2.416667,          10.604,          13.904,           0.000,           0.000
     147,          2.433333,          10.418,          13.574,           0.000,           0.000
     148,          2.450000,          10.257,          13.265,           0.000,           0.000
     149,          2.466667,          10.093,          12.985,           0.000,           0.000
     150,          2.483333,           9.889,          12.728,           0.000,           0.000
     151,          2.500000,           9.661,          12.474,           0.000,           0.000
     152,          2.516667,           9.433,          12.222,           0.000,           0.000
     153,          2.533334,           9.199,          11.991,           0.000,           0.000
     154,          2.550000,           8.988,          11.770,           0.000,           0.000
     155,          2.566667,           8.768,          11.572,           0.000,           0.000
     156,          2.583333,           8.526,          11.359,           0.000,           0.000
     157,          2.600000,           8.268,          11.193,           0.000,           0.000
     158,          2.616667,           8.029,          10.949,           0.000,           0.000
     159,          2.633333,           7.818,          10.709,           0.000,           0.000
     160,          2.650000,           7.644,          10.484,           0.000,           0.000
     161,          2.666667,           7.443,          10.261,           0.000,           0.000
     162,          2.683333,           7.253,          10.045,           0.000,           0.000
     163,          2.700000,           7.069,           9.813,           0.000,           0.000
     164,          2.716667,           6.877,           9.583,           0.000,           0.000
     165,          2.733334,           6.671,           9.374,           0.000,           0.000
     166,          2.750000,           6.465,           9.156,           0.000,           0.000
     167,          2.766667,           6.247,           8.958,           0.000,           0.000
     168,          2.783334,           6.076,           8.811,           0.000,           0.000
     169,          2.800000,           5.833,           8.588,           0.000,           0.000
     170,          2.816667,           5.582,           8.449,           0.000,           0.000
     171,          2.833333,           5.332,          15.082,           0.000,           0.000
     172,          2.850000,           5.082,           1.714,           0.000,           0.000
     173,          2.866667,           4.829,          13.680,           0.000,           0.000
     174,          2.883333,           4.585,          15.913,           0.000,           0.000
     175,          2.900000,           4.336,          12.261,           0.000,           0.000
     176,          2.916667,           4.096,          15.209,           0.000,           0.000
     177,          2.933333,           3.852,           1.015,           0.000,           0.000
     178,          2.950000,           3.631,          11.153,           0.000,           0.000
     179,          2.966667,           3.423,           2.976,           0.000,           0.000
     180,          2.983334,           3.247,           2.200,           0.000,           0.000
     181,          3.000000,           3.068,           0.277,           0.000,           0.000
