"EG12_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_002.tcf]","Time (h)","Q FC01.1_R [EG12_002]","Q FC01.2_R [EG12_002]","Q FC04.1_C [EG12_002]","Q OC_001 [EG12_002]"
      53,          0.866667,          47.415,          50.209,           0.000,           0.757
      54,          0.883333,          47.428,          52.808,           0.000,           0.857
      55,          0.900000,          47.439,          54.885,           0.000,           0.957
      56,          0.916667,          47.448,          56.594,           0.000,           1.000
      57,          0.933333,          47.456,          58.038,           0.000,           1.000
      58,          0.950000,          47.458,          59.274,           0.000,           1.000
      59,          0.966667,          47.458,          60.342,           0.000,           1.000
      60,          0.983333,          47.456,          61.287,           0.000,           1.000
      61,          1.000000,          47.453,          62.148,           0.000,           1.000
      62,          1.016667,          47.449,          62.926,           0.000,           1.000
      63,          1.033333,          47.437,          63.631,           0.000,           1.000
      64,          1.050000,          47.422,          64.276,           0.000,           1.000
      65,          1.066667,          47.406,          64.899,           0.000,           1.000
      66,          1.083333,          47.388,          65.514,           0.000,           1.000
      67,          1.100000,          47.368,          66.080,           0.000,           1.000
      68,          1.116667,          47.330,          66.604,           0.000,           1.000
      69,          1.133333,          47.285,          67.086,           0.000,           1.000
      70,          1.150000,          47.232,          67.531,           0.000,           1.000
      71,          1.166667,          47.176,          67.934,           0.000,           1.000
      72,          1.183333,          47.118,          68.299,           0.000,           1.000
      73,          1.200000,          47.055,          68.624,           0.000,           1.000
      74,          1.216667,          46.988,          68.912,           0.000,           1.000
      75,          1.233333,          46.919,          69.164,           0.000,           0.991
      76,          1.250000,          46.848,          69.383,           0.000,           0.891
      77,          1.266667,          46.773,          69.570,           0.000,           0.791
      78,          1.283333,          46.684,          69.725,           0.000,           0.691
      79,          1.300000,          46.587,          69.853,           0.000,           0.591
      80,          1.316667,          46.482,          69.952,           0.000,           0.491
      81,          1.333333,          46.372,          70.020,           0.000,           0.391
      82,          1.350000,          46.257,          70.057,           0.000,           0.291
      83,          1.366667,          46.136,          70.062,           0.000,           0.191
      84,          1.383333,          46.008,          70.035,           0.000,           0.091
      85,          1.400000,          45.872,          69.977,           0.000,           0.000
      86,          1.416667,          45.728,          69.886,           0.000,           0.000
      87,          1.433333,          45.573,          69.763,           0.000,           0.000
      88,          1.450000,          45.414,          69.609,           0.000,           0.000
      89,          1.466667,          45.244,          69.422,           0.000,           0.000
      90,          1.483333,          45.060,          69.203,           0.000,           0.000
      91,          1.500000,          44.861,          68.954,           0.000,           0.000
      92,          1.516667,          44.643,          68.676,           0.000,           0.000
      93,          1.533333,          44.404,          68.368,           0.000,           0.000
      94,          1.550000,          44.131,          68.032,           0.000,           0.000
      95,          1.566667,          43.804,          67.668,           0.000,           0.000
      96,          1.583333,          43.414,          67.277,           0.000,           0.000
      97,          1.600000,          42.963,          66.863,           0.000,           0.000
      98,          1.616667,          42.482,          66.430,           0.000,           0.000
      99,          1.633333,          41.961,          65.982,           0.000,           0.000
     100,          1.650000,          41.403,          65.519,           0.000,           0.000
     101,          1.666667,          40.795,          65.042,           0.000,           0.000
     102,          1.683333,          40.138,          64.549,           0.000,           0.000
     103,          1.700000,          39.418,          64.040,           0.000,           0.000
     104,          1.716667,          38.628,          63.514,           0.000,           0.000
     105,          1.733333,          37.768,          62.969,           0.000,           0.000
     106,          1.750000,          36.829,          62.403,           0.000,           0.000
     107,          1.766667,          35.804,          61.806,           0.000,           0.000
     108,          1.783333,          34.728,          61.182,           0.000,           0.000
     109,          1.800000,          33.601,          60.526,           0.000,           0.000
     110,          1.816667,          32.403,          59.834,           0.000,           0.000
     111,          1.833333,          31.142,          59.101,           0.000,           0.000
     112,          1.850000,          29.815,          58.317,           0.000,           0.000
     113,          1.866667,          28.439,          57.476,           0.000,           0.000
     114,          1.883333,          26.692,          56.567,           0.000,           0.000
     115,          1.900000,          25.039,          55.581,           0.000,           0.000
     116,          1.916667,          23.646,          54.510,           0.000,           0.000
     117,          1.933333,          22.482,          53.350,           0.000,           0.000
     118,          1.950000,          21.513,          52.094,           0.000,           0.000
     119,          1.966667,          20.727,          50.724,           0.000,           0.000
     120,          1.983333,          20.075,          49.216,           0.000,           0.000
     121,          2.000000,          19.528,          47.555,           0.000,           0.000
     122,          2.016667,          19.066,          45.707,           0.000,           0.000
     123,          2.033334,          18.625,          43.682,           0.000,           0.000
     124,          2.050000,          18.200,          41.459,           0.000,           0.000
     125,          2.066667,          17.773,          39.100,           0.000,           0.000
     126,          2.083333,          17.339,          36.688,           0.000,           0.000
     127,          2.100000,          16.901,          34.254,           0.000,           0.000
     128,          2.116667,          16.451,          31.900,           0.000,           0.000
     129,          2.133333,          15.975,          29.650,           0.000,           0.000
     130,          2.150000,          15.475,          27.520,           0.000,           0.000
     131,          2.166667,          14.960,          25.544,           0.000,           0.000
     132,          2.183333,          14.465,          23.787,           0.000,           0.000
     133,          2.200000,          13.955,          22.218,           0.000,           0.000
     134,          2.216667,          13.539,          20.892,           0.000,           0.000
     135,          2.233333,          13.200,          19.797,           0.000,           0.000
     136,          2.250000,          12.908,          18.830,           0.000,           0.000
     137,          2.266667,          12.657,          18.045,           0.000,           0.000
     138,          2.283334,          12.434,          17.384,           0.000,           0.000
     139,          2.300000,          12.202,          16.801,           0.000,           0.000
     140,          2.316667,          11.978,          16.266,           0.000,           0.000
     141,          2.333333,          11.733,          15.779,           0.000,           0.000
     142,          2.350000,          11.478,          15.336,           0.000,           0.000
     143,          2.366667,          11.269,          14.930,           0.000,           0.000
     144,          2.383333,          11.025,          14.587,           0.000,           0.000
     145,          2.400000,          10.814,          14.240,           0.000,           0.000
     146,          2.416667,          10.607,          13.904,           0.000,           0.000
     147,          2.433333,          10.418,          13.574,           0.000,           0.000
     148,          2.450000,          10.255,          13.266,           0.000,           0.000
     149,          2.466667,          10.093,          12.985,           0.000,           0.000
     150,          2.483333,           9.889,          12.728,           0.000,           0.000
     151,          2.500000,           9.661,          12.477,           0.000,           0.000
     152,          2.516667,           9.433,          12.222,           0.000,           0.000
     153,          2.533334,           9.199,          11.991,           0.000,           0.000
     154,          2.550000,           8.988,          11.769,           0.000,           0.000
     155,          2.566667,           8.767,          11.573,           0.000,           0.000
     156,          2.583333,           8.528,          11.359,           0.000,           0.000
     157,          2.600000,           8.268,          11.193,           0.000,           0.000
     158,          2.616667,           8.028,          10.941,           0.000,           0.000
     159,          2.633333,           7.819,          10.707,           0.000,           0.000
     160,          2.650000,           7.645,          10.485,           0.000,           0.000
     161,          2.666667,           7.442,          10.260,           0.000,           0.000
     162,          2.683333,           7.251,          10.046,           0.000,           0.000
     163,          2.700000,           7.071,           9.814,           0.000,           0.000
     164,          2.716667,           6.876,           9.581,           0.000,           0.000
     165,          2.733334,           6.671,           9.373,           0.000,           0.000
     166,          2.750000,           6.465,           9.159,           0.000,           0.000
     167,          2.766667,           6.250,           8.960,           0.000,           0.000
     168,          2.783334,           6.071,           8.813,           0.000,           0.000
     169,          2.800000,           5.831,           8.579,           0.000,           0.000
     170,          2.816667,           5.579,           8.522,           0.000,           0.000
     171,          2.833333,           5.331,           1.519,           0.000,           0.000
     172,          2.850000,           5.081,          13.164,           0.000,           0.000
     173,          2.866667,           4.829,           1.417,           0.000,           0.000
     174,          2.883333,           4.585,           1.941,           0.000,           0.000
     175,          2.900000,           4.336,           1.192,           0.000,           0.000
     176,          2.916667,           4.095,           2.001,           0.000,           0.000
     177,          2.933333,           3.852,          14.876,           0.000,           0.000
     178,          2.950000,           3.631,           0.964,           0.000,           0.000
     179,          2.966667,           3.423,          12.207,           0.000,           0.000
     180,          2.983334,           3.247,          11.575,           0.000,           0.000
     181,          3.000000,           3.068,          12.035,           0.000,           0.000
