"EG12_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_007.tcf]","Time (h)","SQ FC04.1_C [EG12_007]","SQ OC_001 [EG12_007]","SQ FC01.1_R [EG12_007]"
      90,          1.483333,      0.1696,     63.9186,     45.0597
      91,          1.500000,      0.1711,     63.8334,     44.8609
      92,          1.516667,      0.1934,     63.7338,     44.6433
      93,          1.533333,      0.2123,     63.6218,     44.4043
      94,          1.550000,      0.2309,     63.4983,     44.1306
      95,          1.566667,      0.2407,     63.3624,     43.8045
      96,          1.583333,      0.2473,     63.2182,     43.4142
      97,          1.600000,      0.2451,     63.0669,     42.9635
      98,          1.616667,      0.2425,     62.9106,     42.4817
      99,          1.633333,      0.2432,     62.7509,     41.9615
     100,          1.650000,      0.2396,     62.5868,     41.4030
     101,          1.666667,      0.2217,     62.4188,     40.7949
     102,          1.683333,      0.1997,     62.2463,     40.1380
     103,          1.700000,      0.1802,     62.0685,     39.4187
     104,          1.716667,      0.1630,     61.8857,     38.6287
     105,          1.733333,      0.1477,     61.6982,     37.7686
     106,          1.750000,      0.1342,     61.5029,     36.8293
     107,          1.766667,      0.1222,     61.3007,     35.8046
     108,          1.783333,      0.1115,     61.0909,     34.7286
     109,          1.800000,      0.1020,     60.8728,     33.6021
     110,          1.816667,      0.0935,     60.6454,     32.4046
     111,          1.833333,      0.0859,     60.4081,     31.1433
     112,          1.850000,      0.0791,     60.1596,     29.8167
     113,          1.866667,      0.0729,     59.9001,     28.4408
     114,          1.883333,      0.0673,     59.6280,     26.6955
     115,          1.900000,      0.0623,     59.3436,     25.0430
     116,          1.916667,      0.0577,     59.0454,     23.6499
     117,          1.933333,      0.0536,     58.7317,     22.4849
     118,          1.950000,      0.0498,     58.4013,     21.5154
     119,          1.966667,      0.0464,     58.0556,     20.7295
     120,          1.983333,      0.0432,     57.6939,     20.0771
     121,          2.000000,      0.0403,     57.3127,     19.5301
     122,          2.016667,      0.0377,     53.2559,     19.0685
     123,          2.033334,      0.0353,     49.2440,     18.6276
     124,          2.050000,      0.0330,     45.2813,     18.2022
     125,          2.066667,      0.0310,     41.3680,     17.7745
     126,          2.083333,      0.0291,     37.5226,     17.3407
     127,          2.100000,      0.0274,     33.6942,     16.9049
     128,          2.116667,      0.0258,     29.8997,     16.4513
     129,          2.133333,      0.0244,     27.9699,     15.9751
     130,          2.150000,      0.0231,     27.9042,     15.4754
     131,          2.166667,      0.0218,     27.8415,     14.9611
     132,          2.183333,      0.0207,     27.7718,     14.4667
     133,          2.200000,      0.0196,     27.7034,     13.9566
     134,          2.216667,      0.0186,     27.6305,     13.5401
     135,          2.233333,      0.0177,     27.5546,     13.1986
     136,          2.250000,      0.0168,     27.4738,     12.9094
     137,          2.266667,      0.0160,     27.3921,     12.6581
     138,          2.283334,      0.0152,     27.3078,     12.4354
     139,          2.300000,      0.0145,     27.2194,     12.2035
     140,          2.316667,      0.0138,     27.1300,     11.9601
     141,          2.333333,      0.0132,     27.0379,     11.7307
     142,          2.350000,      0.0126,     26.9433,     11.4840
     143,          2.366667,      0.0121,     26.8461,     11.2740
     144,          2.383333,      0.0115,     26.7474,     11.0300
     145,          2.400000,      0.0110,     26.6451,     10.8133
     146,          2.416667,      0.0106,     26.5408,     10.6098
     147,          2.433333,      0.0101,     26.4349,     10.4204
     148,          2.450000,      0.0097,     26.3257,     10.2597
     149,          2.466667,      0.0093,     26.2134,     10.0975
     150,          2.483333,      0.0089,     26.0986,      9.8898
     151,          2.500000,      0.0086,     25.9815,      9.6632
     152,          2.516667,      0.0083,     25.8622,      9.4343
     153,          2.533334,      0.0079,     25.7403,      9.1989
     154,          2.550000,      0.0076,     25.6162,      8.9883
     155,          2.566667,      0.0074,     25.4896,      8.7683
     156,          2.583333,      0.0071,     25.3629,      8.5271
     157,          2.600000,      0.0068,     25.2308,      8.2684
     158,          2.616667,      0.0066,     25.0956,      8.0304
     159,          2.633333,      0.0063,     24.9573,      7.8192
     160,          2.650000,      0.0061,     24.8164,      7.6447
     161,          2.666667,      0.0059,     24.6717,      7.4448
     162,          2.683333,      0.0057,     24.5245,      7.2559
     163,          2.700000,      0.0055,     24.3726,      7.0696
     164,          2.716667,      0.0053,     24.2170,      6.8772
     165,          2.733334,      0.0052,     24.0572,      6.6719
     166,          2.750000,      0.0050,     23.8943,      6.4661
     167,          2.766667,      0.0048,     23.7273,      6.2466
     168,          2.783334,      0.0047,     23.5564,      6.0890
     169,          2.800000,      0.0045,     23.3820,      5.8380
     170,          2.816667,      0.0044,     23.2030,      5.5856
     171,          2.833333,      0.0043,     23.0205,      5.3360
     172,          2.850000,      0.0041,     22.8319,      5.0833
     173,          2.866667,      0.0040,     22.6392,      4.8311
     174,          2.883333,      0.0039,     22.4406,      4.5863
     175,          2.900000,      0.0038,     22.2367,      4.3381
     176,          2.916667,      0.0037,     22.0275,      4.0975
     177,          2.933333,      0.0036,     21.8124,      3.8547
     178,          2.950000,      0.0035,     21.5906,      3.6317
     179,          2.966667,      0.0034,     21.3602,      3.4246
     180,          2.983334,      0.0033,     21.1243,      3.2490
     181,          3.000000,      0.0032,     20.8675,      3.0680
