"EG12_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_008.tcf]","Time (h)","SQ FC04.1_C [EG12_008]","SQ OC_001 [EG12_008]","SQ FC01.1_R [EG12_008]"
      90,          1.483333,     -0.3005,     46.1712,     45.0597
      91,          1.500000,     -0.1270,     46.2039,     44.8609
      92,          1.516667,     -0.0842,     46.2295,     44.6433
      93,          1.533333,     -0.0460,     46.2461,     44.4043
      94,          1.550000,     -0.0344,     46.2542,     44.1306
      95,          1.566667,     -0.0182,     46.2549,     43.8047
      96,          1.583333,     -0.0008,     46.2499,     43.4143
      97,          1.600000,      0.0024,     46.2419,     42.9636
      98,          1.616667,      0.0336,     46.2302,     42.4819
      99,          1.633333,      0.0517,     46.2160,     41.9615
     100,          1.650000,      0.0649,     46.1999,     41.4031
     101,          1.666667,      0.0764,     46.1812,     40.7950
     102,          1.683333,      0.0858,     46.1599,     40.1381
     103,          1.700000,      0.0915,     46.1355,     39.4189
     104,          1.716667,      0.1010,     46.1085,     38.6288
     105,          1.733333,      0.1182,     46.0787,     37.7688
     106,          1.750000,      0.1340,     46.0445,     36.8295
     107,          1.766667,      0.1429,     46.0068,     35.8049
     108,          1.783333,      0.1569,     45.9641,     34.7289
     109,          1.800000,      0.1744,     45.9174,     33.6024
     110,          1.816667,      0.1935,     45.8658,     32.4050
     111,          1.833333,      0.2091,     45.8082,     31.1437
     112,          1.850000,      0.2212,     45.7456,     29.8171
     113,          1.866667,      0.2429,     45.6768,     28.4414
     114,          1.883333,      0.2614,     45.6018,     26.6964
     115,          1.900000,      0.2759,     45.5206,     25.0441
     116,          1.916667,      0.2956,     45.4318,     23.6510
     117,          1.933333,      0.3006,     45.3350,     22.4857
     118,          1.950000,      0.3155,     45.2312,     21.5162
     119,          1.966667,      0.3258,     45.1196,     20.7301
     120,          1.983333,      0.3344,     45.0014,     20.0777
     121,          2.000000,      0.3344,     44.8769,     19.5304
     122,          2.016667,      0.3149,     44.7477,     19.0694
     123,          2.033334,      0.3337,     44.6157,     18.6282
     124,          2.050000,      0.3246,     44.4798,     18.2024
     125,          2.066667,      0.2898,     44.3387,     17.7750
     126,          2.083333,      0.2596,     44.1949,     17.3406
     127,          2.100000,      0.2332,     44.0480,     16.9026
     128,          2.116667,      0.2098,     43.8982,     16.4516
     129,          2.133333,      0.1893,     43.7448,     15.9756
     130,          2.150000,      0.1711,     43.5877,     15.4760
     131,          2.166667,      0.1549,     43.4279,     14.9615
     132,          2.183333,      0.1405,     43.2649,     14.4674
     133,          2.200000,      0.1278,     43.0984,     13.9568
     134,          2.216667,      0.1165,     42.9276,     13.5404
     135,          2.233333,      0.1065,     42.7533,     13.1988
     136,          2.250000,      0.0975,     42.5748,     12.9096
     137,          2.266667,      0.0894,     42.3916,     12.6584
     138,          2.283334,      0.0822,     42.2063,     12.4358
     139,          2.300000,      0.0757,     42.0181,     12.2034
     140,          2.316667,      0.0699,     41.8265,     11.9604
     141,          2.333333,      0.0646,     41.6328,     11.7096
     142,          2.350000,      0.0598,     41.4344,     11.4618
     143,          2.366667,      0.0555,     41.2334,     11.2816
     144,          2.383333,      0.0516,     41.0294,     11.0389
     145,          2.400000,      0.0480,     40.8220,     10.8204
     146,          2.416667,      0.0447,     40.6111,     10.6157
     147,          2.433333,      0.0417,     40.3976,     10.4214
     148,          2.450000,      0.0389,     40.1802,     10.2624
     149,          2.466667,      0.0364,     39.9590,     10.0979
     150,          2.483333,      0.0341,     39.7336,      9.8902
     151,          2.500000,      0.0320,     39.5031,      9.6641
     152,          2.516667,      0.0300,     36.2208,      9.4345
     153,          2.533334,      0.0282,     32.3544,      9.1998
     154,          2.550000,      0.0266,     28.5260,      8.9890
     155,          2.566667,      0.0251,     27.7905,      8.7681
     156,          2.583333,      0.0237,     27.6796,      8.5280
     157,          2.600000,      0.0224,     27.5699,      8.2705
     158,          2.616667,      0.0212,     27.4573,      8.0326
     159,          2.633333,      0.0201,     27.3430,      7.8193
     160,          2.650000,      0.0191,     27.2241,      7.6452
     161,          2.666667,      0.0181,     27.1032,      7.4452
     162,          2.683333,      0.0172,     26.9791,      7.2566
     163,          2.700000,      0.0164,     26.8539,      7.0700
     164,          2.716667,      0.0156,     26.7252,      6.8769
     165,          2.733334,      0.0148,     26.5925,      6.6720
     166,          2.750000,      0.0141,     26.4577,      6.4664
     167,          2.766667,      0.0135,     26.3200,      6.2470
     168,          2.783334,      0.0129,     26.1790,      6.0828
     169,          2.800000,      0.0123,     26.0348,      5.8362
     170,          2.816667,      0.0118,     25.8870,      5.5842
     171,          2.833333,      0.0113,     25.7366,      5.3350
     172,          2.850000,      0.0108,     25.5825,      5.0820
     173,          2.866667,      0.0103,     25.4247,      4.8303
     174,          2.883333,      0.0099,     25.2631,      4.5862
     175,          2.900000,      0.0095,     25.0981,      4.3379
     176,          2.916667,      0.0091,     24.9291,      4.0984
     177,          2.933333,      0.0088,     24.7561,      3.8553
     178,          2.950000,      0.0084,     24.5787,      3.6325
     179,          2.966667,      0.0081,     24.3965,      3.4248
     180,          2.983334,      0.0078,     24.2090,      3.2492
     181,          3.000000,      0.0075,     24.0168,      3.0678
