"EG12_001 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_001.tcf]","Time (h)","Q FC01.1_R [EG12_001]","Q FC01.2_R [EG12_001]","Q FC04.1_C [EG12_001]","Q OC_001 [EG12_001]"
      53,          0.866667,          47.415,          50.440,           0.000,           0.000
      54,          0.883333,          47.428,          53.038,           0.000,           0.000
      55,          0.900000,          47.439,          55.123,           0.000,           0.000
      56,          0.916667,          47.448,          56.841,           0.000,           0.000
      57,          0.933333,          47.456,          58.289,           0.000,           0.000
      58,          0.950000,          47.458,          59.525,           0.000,           0.000
      59,          0.966667,          47.458,          60.596,           0.000,           0.000
      60,          0.983333,          47.456,          61.546,           0.000,           0.000
      61,          1.000000,          47.453,          62.408,           0.000,           0.000
      62,          1.016667,          47.449,          63.186,           0.000,           0.100
      63,          1.033333,          47.437,          63.889,           0.000,           0.200
      64,          1.050000,          47.422,          64.531,           0.000,           0.300
      65,          1.066667,          47.406,          65.148,           0.000,           0.400
      66,          1.083333,          47.388,          65.758,           0.000,           0.500
      67,          1.100000,          47.368,          66.317,           0.000,           0.600
      68,          1.116667,          47.330,          66.831,           0.000,           0.700
      69,          1.133333,          47.285,          67.305,           0.000,           0.800
      70,          1.150000,          47.232,          67.739,           0.000,           0.900
      71,          1.166667,          47.176,          68.131,           0.000,           1.000
      72,          1.183333,          47.118,          68.487,           0.000,           1.000
      73,          1.200000,          47.054,          68.805,           0.000,           1.000
      74,          1.216667,          46.988,          69.086,           0.000,           1.000
      75,          1.233333,          46.919,          69.331,           0.000,           1.000
      76,          1.250000,          46.848,          69.542,           0.000,           1.000
      77,          1.266667,          46.773,          69.720,           0.000,           1.000
      78,          1.283333,          46.684,          69.867,           0.000,           1.000
      79,          1.300000,          46.587,          69.983,           0.000,           1.000
      80,          1.316667,          46.482,          70.070,           0.000,           1.000
      81,          1.333333,          46.372,          70.126,           0.000,           1.000
      82,          1.350000,          46.257,          70.149,           0.000,           1.000
      83,          1.366667,          46.136,          70.139,           0.000,           1.000
      84,          1.383333,          46.008,          70.096,           0.000,           1.000
      85,          1.400000,          45.872,          70.020,           0.000,           1.000
      86,          1.416667,          45.728,          69.912,           0.000,           1.000
      87,          1.433333,          45.573,          69.773,           0.000,           1.000
      88,          1.450000,          45.414,          69.601,           0.000,           1.000
      89,          1.466667,          45.244,          69.398,           0.000,           1.000
      90,          1.483333,          45.060,          69.162,           0.000,           1.000
      91,          1.500000,          44.861,          68.896,           0.000,           1.000
      92,          1.516667,          44.643,          68.603,           0.000,           0.901
      93,          1.533333,          44.404,          68.281,           0.000,           0.801
      94,          1.550000,          44.131,          67.933,           0.000,           0.701
      95,          1.566667,          43.804,          67.557,           0.000,           0.601
      96,          1.583333,          43.414,          67.157,           0.000,           0.501
      97,          1.600000,          42.963,          66.734,           0.000,           0.401
      98,          1.616667,          42.482,          66.295,           0.000,           0.301
      99,          1.633333,          41.961,          65.841,           0.000,           0.201
     100,          1.650000,          41.403,          65.375,           0.000,           0.101
     101,          1.666667,          40.795,          64.896,           0.000,           0.001
     102,          1.683333,          40.138,          64.402,           0.000,           0.000
     103,          1.700000,          39.418,          63.892,           0.000,           0.000
     104,          1.716667,          38.628,          63.364,           0.000,           0.000
     105,          1.733333,          37.768,          62.818,           0.000,           0.000
     106,          1.750000,          36.829,          62.249,           0.000,           0.000
     107,          1.766667,          35.804,          61.650,           0.000,           0.000
     108,          1.783333,          34.728,          61.024,           0.000,           0.000
     109,          1.800000,          33.601,          60.364,           0.000,           0.000
     110,          1.816667,          32.403,          59.670,           0.000,           0.000
     111,          1.833333,          31.141,          58.932,           0.000,           0.000
     112,          1.850000,          29.815,          58.144,           0.000,           0.000
     113,          1.866667,          28.438,          57.297,           0.000,           0.000
     114,          1.883333,          26.692,          56.382,           0.000,           0.000
     115,          1.900000,          25.039,          55.388,           0.000,           0.000
     116,          1.916667,          23.646,          54.310,           0.000,           0.000
     117,          1.933333,          22.482,          53.145,           0.000,           0.000
     118,          1.950000,          21.513,          51.883,           0.000,           0.000
     119,          1.966667,          20.727,          50.504,           0.000,           0.000
     120,          1.983333,          20.075,          48.986,           0.000,           0.000
     121,          2.000000,          19.528,          47.312,           0.000,           0.000
     122,          2.016667,          19.066,          45.452,           0.000,           0.000
     123,          2.033334,          18.625,          43.412,           0.000,           0.000
     124,          2.050000,          18.200,          41.175,           0.000,           0.000
     125,          2.066667,          17.773,          38.813,           0.000,           0.000
     126,          2.083333,          17.339,          36.414,           0.000,           0.000
     127,          2.100000,          16.901,          34.000,           0.000,           0.000
     128,          2.116667,          16.451,          31.671,           0.000,           0.000
     129,          2.133333,          15.975,          29.438,           0.000,           0.000
     130,          2.150000,          15.475,          27.331,           0.000,           0.000
     131,          2.166667,          14.960,          25.384,           0.000,           0.000
     132,          2.183333,          14.466,          23.652,           0.000,           0.000
     133,          2.200000,          13.955,          22.110,           0.000,           0.000
     134,          2.216667,          13.539,          20.809,           0.000,           0.000
     135,          2.233333,          13.200,          19.736,           0.000,           0.000
     136,          2.250000,          12.908,          18.788,           0.000,           0.000
     137,          2.266667,          12.657,          18.016,           0.000,           0.000
     138,          2.283334,          12.434,          17.366,           0.000,           0.000
     139,          2.300000,          12.202,          16.789,           0.000,           0.000
     140,          2.316667,          11.978,          16.257,           0.000,           0.000
     141,          2.333333,          11.733,          15.772,           0.000,           0.000
     142,          2.350000,          11.478,          15.330,           0.000,           0.000
     143,          2.366667,          11.268,          14.929,           0.000,           0.000
     144,          2.383333,          11.025,          14.586,           0.000,           0.000
     145,          2.400000,          10.814,          14.237,           0.000,           0.000
     146,          2.416667,          10.604,          13.901,           0.000,           0.000
     147,          2.433333,          10.418,          13.572,           0.000,           0.000
     148,          2.450000,          10.257,          13.265,           0.000,           0.000
     149,          2.466667,          10.093,          12.984,           0.000,           0.000
     150,          2.483333,           9.889,          12.727,           0.000,           0.000
     151,          2.500000,           9.661,          12.474,           0.000,           0.000
     152,          2.516667,           9.433,          12.223,           0.000,           0.000
     153,          2.533334,           9.199,          11.989,           0.000,           0.000
     154,          2.550000,           8.988,          11.769,           0.000,           0.000
     155,          2.566667,           8.768,          11.572,           0.000,           0.000
     156,          2.583333,           8.526,          11.359,           0.000,           0.000
     157,          2.600000,           8.266,          11.192,           0.000,           0.000
     158,          2.616667,           8.030,          10.945,           0.000,           0.000
     159,          2.633333,           7.818,          10.709,           0.000,           0.000
     160,          2.650000,           7.643,          10.483,           0.000,           0.000
     161,          2.666667,           7.443,          10.261,           0.000,           0.000
     162,          2.683333,           7.251,          10.046,           0.000,           0.000
     163,          2.700000,           7.071,           9.814,           0.000,           0.000
     164,          2.716667,           6.877,           9.582,           0.000,           0.000
     165,          2.733334,           6.671,           9.372,           0.000,           0.000
     166,          2.750000,           6.464,           9.155,           0.000,           0.000
     167,          2.766667,           6.253,           8.958,           0.000,           0.000
     168,          2.783334,           6.081,           8.815,           0.000,           0.000
     169,          2.800000,           5.836,           8.584,           0.000,           0.000
     170,          2.816667,           5.583,           8.639,           0.000,           0.000
     171,          2.833333,           5.333,           2.151,           0.000,           0.000
     172,          2.850000,           5.082,          13.294,           0.000,           0.000
     173,          2.866667,           4.830,           1.401,           0.000,           0.000
     174,          2.883333,           4.586,           1.961,           0.000,           0.000
     175,          2.900000,           4.337,           1.165,           0.000,           0.000
     176,          2.916667,           4.096,           1.791,           0.000,           0.000
     177,          2.933333,           3.852,          15.318,           0.000,           0.000
     178,          2.950000,           3.632,           0.956,           0.000,           0.000
     179,          2.966667,           3.423,          11.711,           0.000,           0.000
     180,          2.983334,           3.248,          11.775,           0.000,           0.000
     181,          3.000000,           3.068,          11.841,           0.000,           0.000
